Unnamed: 0,Time in ms,M0 in meter,MF231 in A
358,17.9,0.0002718779296875,0.1
359,17.95,0.000274013671875,0.1
360,18.0,0.00027615478515625005,0.1
361,18.05,0.00027830224609375005,0.1
362,18.1,0.00028045556640625,0.1
363,18.15,0.0002826142578125,0.1
364,18.2,0.00028477880859375,0.1
365,18.25,0.00028694921875000004,0.1
366,18.3,0.00028912500000000005,0.1
367,18.35,0.000291306640625,0.1
368,18.4,0.00029349316406250005,0.1
369,18.45,0.00029568554687500005,0.1
370,18.5,0.00029788330078125004,0.1
371,18.55,0.00030008642578125,0.1
372,18.6,0.00030229443359375003,0.1
373,18.65,0.00030450781250000004,0.1
374,18.7,0.00030672656250000003,0.1
375,18.75,0.00030895019531250017,0.1
376,18.8,0.00031117919921875003,0.1
377,18.85,0.0003134130859375,0.1
378,18.9,0.00031565185546875016,0.1
379,18.95,0.00031789501953125005,0.1
380,19.0,0.00032014355468750003,0.1
381,19.05,0.00032239697265625005,0.1
382,19.1,0.00032465527343750005,0.1
383,19.15,0.00032691796875000017,0.1
384,19.2,0.00032918505859375004,0.1
385,19.25,0.00033145703125000005,0.1
386,19.3,0.0003337333984375,0.1
387,19.35,0.00033601416015625017,0.1
388,19.4,0.00033829980468750003,0.1
389,19.45,0.00034058935546875017,0.1
390,19.5,0.00034288330078125005,0.1
391,19.55,0.00034518164062500016,0.1
392,19.6,0.00034748388671875,0.1
393,19.65,0.00034979052734375004,0.1
394,19.7,0.00035210107421875,0.1
395,19.75,0.000354416015625,0.1
396,19.8,0.00035673437500000017,0.1
397,19.85,0.00035905712890625,0.1
398,19.9,0.0003613837890625,0.1
399,19.95,0.0003637138671875,0.1
400,20.0,0.00036604833984375015,0.1
401,20.05,0.00036838623046875016,0.1
402,20.1,0.0003707275390625,0.1
403,20.15,0.00037307275390625015,0.1
404,20.2,0.00037542138671875014,0.1
405,20.25,0.00037777343750000007,0.1
406,20.3,0.00038012939453125016,0.1
407,20.35,0.0003824882812500001,0.1
408,20.4,0.0003848505859375,0.1
409,20.45,0.0003872163085937501,0.1
410,20.5,0.00038958544921875016,0.1
411,20.55,0.0003919575195312501,0.1
412,20.6,0.00039433251953125017,0.1
413,20.65,0.0003967109375,0.1
414,20.7,0.00039909228515625015,0.1
415,20.75,0.0004014765625,0.1
416,20.8,0.00040386376953125016,0.1
417,20.85,0.00040625390625,0.1
418,20.9,0.00040864697265625017,0.1
419,20.95,0.00041104248046875015,0.1
420,21.0,0.00041344091796875017,0.1
421,21.05,0.00041584228515625016,0.1
422,21.1,0.00041824560546875015,0.1
423,21.15,0.00042065185546875017,0.1
424,21.2,0.000423060546875,0.1
425,21.25,0.0004254716796875,0.1
426,21.3,0.000427884765625,0.1
427,21.35,0.00043030029296875017,0.1
428,21.4,0.00043271826171875015,0.1
