Time,M0,M14
36.450000,2021829,-814865
36.500000,2022518,-807696
36.550000,2023195,-800528
36.600000,2023860,-793357
36.650000,2024512,-786190
36.700000,2025153,-779020
36.750000,2025782,-771851
36.800000,2026400,-764683
36.850000,2027005,-757514
36.900000,2027600,-750345
36.950000,2028183,-743175
37.000000,2028754,-736008
37.050000,2029315,-728837
37.100000,2029865,-721670
37.150000,2030403,-714500
37.200000,2030931,-707332
37.250000,2031449,-700162
37.300000,2031955,-692993
37.350000,2032451,-685826
37.400000,2032937,-678655
37.450000,2033413,-671487
37.500000,2033878,-664318
37.550000,2034334,-657150
37.600000,2034779,-649979
37.650000,2035215,-642812
37.700000,2035641,-635642
37.750000,2036058,-628474
37.800000,2036464,-621304
37.850000,2036862,-614136
37.900000,2037250,-606967
37.950000,2037630,-599798
38.000000,2038000,-592628
38.050000,2038361,-585461
38.100000,2038713,-578292
38.150000,2039057,-571121
38.200000,2039392,-563954
38.250000,2039718,-556784
38.300000,2040037,-549616
38.350000,2040347,-542447
38.400000,2040648,-535278
38.450000,2040942,-528108
38.500000,2041228,-520940
38.550000,2041505,-513772
38.600000,2041776,-506602
38.650000,2042038,-499433
38.700000,2042293,-492264
38.750000,2042541,-485097
38.800000,2042781,-477925
38.850000,2043014,-470759
38.900000,2043240,-463588
38.950000,2043459,-456420
39.000000,2043672,-449252
39.050000,2043877,-442081
39.100000,2044076,-434914
39.150000,2044268,-427744
39.200000,2044454,-420575
39.250000,2044634,-413407
39.300000,2044807,-406238
39.350000,2044975,-399068
39.400000,2045136,-391900
39.450000,2045291,-384731
39.500000,2045441,-377562
39.550000,2045585,-370394
39.600000,2045724,-363223
39.650000,2045857,-356056
39.700000,2045984,-348886
39.750000,2046107,-341718
39.800000,2046224,-334548
39.850000,2046337,-327380
39.900000,2046444,-320211
39.950000,2046547,-313042
40.000000,2046645,-305873
40.050000,2046739,-298704
40.100000,2046828,-291535
40.150000,2046913,-284367
40.200000,2046993,-277197
40.250000,2047070,-270029
40.300000,2047142,-262859
40.350000,2047211,-255691
40.400000,2047275,-248522
40.450000,2047336,-241353
40.500000,2047394,-234184
40.550000,2047448,-227015
40.600000,2047498,-219846
40.650000,2047546,-212678
40.700000,2047590,-205508
40.750000,2047631,-198340
40.800000,2047670,-191170
40.850000,2047705,-184002
40.900000,2047738,-176833
40.950000,2047768,-169664
41.000000,2047796,-162494
41.050000,2047821,-155327
41.100000,2047844,-148158
41.150000,2047865,-140987
41.200000,2047884,-133820
41.250000,2047901,-126651
41.300000,2047916,-119481
41.350000,2047930,-112313
41.400000,2047942,-105144
41.450000,2047952,-97975
41.500000,2047961,-90805
41.550000,2047969,-83638
41.600000,2047975,-76468
41.650000,2047981,-69300
41.700000,2047985,-62130
41.750000,2047989,-54962
41.800000,2047992,-47792
41.850000,2047994,-40624
41.900000,2047996,-33455
41.950000,2047997,-29298
42.000000,2047998,-25141
42.050000,2047999,-20983
42.100000,2047999,-16828
42.150000,2047999,-12670
42.200000,2047999,-8512
42.250000,2047999,-4357
42.300000,2047999,-199
42.350000,2047999,-174
42.400000,2047999,-150
42.450000,2047999,-124
42.500000,2047999,-99
42.550000,2047999,-75
42.600000,2048000,-50
42.650000,2048000,-25
